"COD_SETOR","DESCRICAO","CAMPUS","MATRICULAS","NOME_FEDERAL"
"11050000","UNID. ACAD. DE ENGENHARIA MECÂNICA",1,1389,Unidade Academica De Engenharia Mecanica
"11060000","UNID. ACAD. DE ENGENHARIA DE MATERIAIS",1,471,Unidade Academica Engenharia Materiais
"11070000","UNID. ACAD. DE ENGENHARIA QUÍMICA",1,1391,Unidade Academica De Engenharia Quimica
"11080000","UNID. ACAD. DE FÍSICA",1,2781,Unidade Academica De Fisica - Cct
"11090000","UNID. ACAD. DE MATEMÁTICA",1,4059,Unidade Academica De Matematica
"11110000","UNID. ACAD. DE ENGENHARIA DE PETRÓLEO",1,278,Unidade Academica De Petroleo
"11120000","UNID. ACAD. DE DESENHO INDUSTRIAL",1,959,Unidade Academica De Design
"11130000","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO",1,1099,Unidade Academica De Eng. De Producao
"11140000","UNID. ACAD. DE ESTATÍSTICA",1,885,Unidade Academica De Estatistica
"12010000","UNID. ACAD. DE CIÊNCIAS DA SAÚDE (UACS)",1,1289,
"12020000","UNID. ACAD. DE CIÊNCIAS MÉDICAS (UACM)",1,2575,Unidade Academica De Medicina
"12050000","UNID. ACAD. DE PSICOLOGIA (UAPSI)",1,1615,Unidade Academica De Psicologia
"13010000","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE",1,1913,Unidade Academica De Adm e Contabilidade
"13020000","UNID. ACAD. DE ARTES",1,2543,Unidade Academica De Arte e Midia - Ch
"13030000","UNID. ACAD. DE ECONOMIA E FINANCAS",1,1198,Unidade Academica Economia e Financas-Ch
"13040000","UNID. ACAD. DE EDUCAÇÃO",1,1560,Unidade Academica De Educacao - Ch
"13050000","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA",1,1833,
"13060000","UNID. ACAD. DE HISTÓRIA",1,1008,Unidade Academica De Historia
"13070000","UNID. ACAD. DE LETRAS",1,2012,Unidade Academica De Letras - Ch
"13080000","UNID. ACAD. DE GEOGRAFIA",1,1079,Unidade Academica De Geografia
"14040000","UNID. ACAD. DE ENGENHARIA ELÉTRICA",1,3575,Unidade Academica De Engenharia Eletrica
"14110000","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO",1,3714,Unidade Academica Sistemas e Computacao
"15010000","UNID. ACAD. DE CIÊNCIAS ATMOSFÉRICAS",1,69,Unidade Academica Ciencias Atmosferica
"15020000","UNID. ACAD. DE ENGENHARIA AGRÍCOLA",1,413,Unidade Academica De Engenharia Agricola
"15030000","UNID. ACAD. DE ENGENHARIA CIVIL",1,3535,Unidade Academica De Engenharia Civil
"15040000","UNID. ACAD. DE ENGENHARIA DE ALIMENTOS",1,258,Unidade Academica De Eng. De Alimentos
"15100000","UNID. ACAD. DE MINERAÇÃO E GEOLOGIA",1,645,Unidade Academica Mineracao e Geologia
"19010000","UNID. ACAD. DE MATEMÁTICA (PARFOR)",1,69,
"19020000","UNID. ACAD. DE QUÍMICA (PARFOR)",2,25,
"19030000","UNID. ACAD. DE HISTÓRIA (PARFOR)",1,90,
"21010000","UNID. ACAD. DE CIÊNCIAS SOCIAIS",2,1519,Unidade Academica De Ciencias Sociais
"21020000","UNID. ACAD. DE CIÊNCIAS EXATAS E DA NATUREZA",2,1545,
"21030000","UNID. ACAD. DE EDUCAÇÃO",2,2003,Unidade Academica De Educacao - Ch
"21040000","UNID. ACAD. DE LETRAS",2,1582,Unidade Academica De Letras - Ch
"21050000","UNID. ACAD. DE CIÊNCIAS DA VIDA",2,663,Unidade Academica De Ciencias Da Vida
"21060000","UNID. ACAD. DE ENFERMAGEM",2,849,Unidade Academica De Enfermagem
"21070000","UNID. ACAD. DE GEOGRAFIA",2,802,Unidade Academica De Geografia
"31010000","UNID. ACAD. DE DIREITO",3,6185,Unidade Academica De Direito - Ccjs
"31030000","UNID. ACAD. DE CIÊNCIAS CONTÁBEIS",3,3061,Unidade Academica De Ciencias Contabeis
"41010000","UNID. ACAD. DE MEDICINA VETERINÁRIA",4,2731,Unidade Academica Medicina Veterinaria
"41020000","UNID. ACAD. DE ENGENHARIA FLORESTAL",4,728,Unidade Academica Engenharia Florestal
"41050000","UNID. ACAD. DE CIÊNCIAS BIOLÓGICAS",4,3586,Unidade Academica De Ciencias Biologicas
"51010000","UNID. ACAD. DE FÍSICA E MATEMÁTICA",5,1550,Unidade Academica De Fisica e Matematica
"51020000","UNID. ACAD. DE SAÚDE",5,4000,Unidade Academica De Saude - Ces
"51030000","UNID. ACAD. DE ENFERMAGEM",5,1427,Unidade Academica De Enfermagem
"51040000","UNID. ACAD. DE BIOLOGIA E QUÍMICA",5,2351,Unidade Academica De Quimica e Biologia
"71010000","UNID. ACAD. DE EDUCAÇÃO DO CAMPO",7,1514,Unidade Academica De Educacao Do Campo
"71020000","UNID. ACAD. DE TECNOLOGIA DO DESENVOLVIMENTO",7,1563,Unidade Academica De Tec Do Desenv-Cdsa
"71030000","UNID. ACAD. DE ENGENHARIA DE BIOTECNOLOGIA E BIOPROCESSOS",7,425,Unidade Academica De Eng. Biotecnologia
"71040000","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO",7,585,Unidade Academica De Eng. De Producao
"91010000","UNID. ACAD. DE AGRONOMIA E TECNOLOGIA DE ALIMENTO",9,5837,Unidade Academica De Eng. De Alimentos
