UORG_LOTACAO,Outro,Professor 20h,Professor 40h ou DE,idade_25perc,idade_mediana,idade_75perc
Unidade Academica De Desenho Industrial,1.0,0.0,1.0,0.522694138553528,0.645296878279556,0.767899618005583
Unidade Academica De Educacao - Ces,0.0,0.0,1.0,2.02200920704668,2.02200920704668,2.02200920704668
Unidade Academica Matematica Estatistica,0.0,0.0,1.0,2.16995441252613,2.16995441252613,2.16995441252613
Unidade Academica De Petroleo,1.0,0.0,6.0,6.86036537143024,6.91242016595079,7.55762564540284
Unidade Academica De Eng. Biotecnologia,2.0,0.0,9.0,6.19461194677271,6.88502290567682,7.15351605636175
Unidade Academica De Eng. De Alimentos,6.0,1.0,10.0,3.87337907006038,6.97269413855353,26.1720092070467
Unidade Academica Mineracao e Geologia,18.0,0.0,13.0,4.06584482348504,31.9973516728001,35.9946119467727
Unidade Academica Ciencias Atmosferica,7.0,0.0,15.0,12.5000913988275,32.3274886591015,37.8761187960878
Unidade Academica De Estatistica,1.0,0.0,15.0,6.62885852211517,7.73022838512887,13.4583105769097
Unidade Academica De Design,2.0,2.0,16.0,7.84940646732065,25.8220092070467,29.9589955084165
Unidade Academica Engenharia Materiais,12.0,0.0,18.0,21.73433797417,26.2959818097864,33.4959818097864
Unidade Academica De Historia,8.0,0.0,20.0,7.67885852211517,14.9384475632111,26.4322831796494
Unidade Academica De Ciencias Agrarias,8.0,0.0,22.0,3.40077633033435,7.51789961800558,9.0028311248549
Unidade Academica De Tec Do Desenv-Cdsa,4.0,0.0,22.0,6.39324208375901,6.91379002896449,7.28776263170421
Unidade Academica Economia e Financas-Ch,5.0,0.0,22.0,7.53091331663572,24.7315982481426,31.6624201659508
Unidade Academica De Letras,1.0,1.0,22.0,5.06036537143024,8.73570783718367,19.9720092070467
Unidade Academica De Engenharia Mecanica,14.0,0.0,24.0,8.41789961800558,27.3699544125261,34.4233790700604
Unidade Academica De Adm e Contabilidade,7.0,2.0,23.0,4.75625578238914,8.96447496047134,14.7220092070467
Unidade Academica De Engenharia Agricola,4.0,0.0,25.0,12.5548859193754,25.4850229056768,26.3288585221152
Unidade Academica De Engenharia Quimica,12.0,0.0,25.0,8.31789961800558,25.7754338645809,32.5165297549919
Unidade Academica Engenharia Florestal,12.0,0.0,28.0,10.3918722207453,23.9754338645809,31.1836530426631
Unidade Academica De Educacao,1.0,0.0,29.0,1.61310509745764,6.65625578238915,12.3589955084165
Unidade Academica De Quimica e Biologia,6.0,0.0,29.0,4.33570783718367,7.87132427553983,8.93844756321106
Unidade Academica De Psicologia,5.0,6.0,24.0,2.87817359060832,6.38639276869051,7.45762564540284
Unidade Academica De Educacao - Ch,5.0,0.0,31.0,7.62748865910147,18.6631050974576,25.4644749604713
Unidade Academica De Enfermagem - Ces,2.0,3.0,28.0,3.18913249471791,4.06858454951243,6.42474893307408
Unidade Academica De Eng. De Producao,3.0,1.0,30.0,6.32954345362202,7.34392701526586,22.6274886591015
Unidade Academica De Ciencias Contabeis,2.0,9.0,23.0,6.15831057690969,7.07680372759462,8.76242016595079
Unidade Academica De Fisica - Cct,9.0,0.0,32.0,6.9042009878686,13.0110503029371,34.8302283851289
Unidade Academica De Geografia,7.0,0.0,32.0,5.20831057690969,7.28776263170421,21.6096804399234
Unidade Academica De Educacao Do Campo,3.0,2.0,34.0,2.0973516728001,6.80831057690969,7.27132427553983
Unidade Academica De Matematica,6.0,0.0,37.0,4.63159824814257,8.23022838512887,13.9754338645809
Unidade Academica Medicina Veterinaria,3.0,0.0,37.0,1.91310509745764,20.9535160563617,29.765844823485
Unidade Academica De Fisica e Matematica,4.0,2.0,37.0,3.14529687827956,7.29324208375901,9.99050235773161
Unidade Academica Sistemas e Computacao,8.0,0.0,39.0,6.05077633033435,8.42474893307408,22.0918722207453
Unidade Academica De Engenharia Civil,31.0,0.0,42.0,6.86858454951243,24.6137900289645,38.0028311248549
Unidade Academica De Saude - Ces,6.0,2.0,40.0,3.32474893307408,7.22611879608777,7.85625578238914
Unidade Academica De Arte e Midia - Ch,14.0,3.0,40.0,3.96926948101928,7.18365304266312,22.0192694810193
Unidade Academica De Engenharia Eletrica,30.0,0.0,51.0,7.56995441252613,31.9959818097864,38.252146193348
Unidade Academica De Ciencias Da Vida,6.0,42.0,11.0,5.02200920704668,6.42474893307408,7.5042009878686
Unidade Academica De Ciencias Biologicas,11.0,7.0,53.0,3.85625578238915,6.38639276869051,7.86310509745764
Unidade Academica De Enfermagem,12.0,13.0,50.0,3.77817359060832,7.4055708508823,8.86310509745764
Unidade Academica De Direito - Ccjs,3.0,11.0,54.0,4.2042009878686,8.33707770019737,10.898036604307
Unidade Academica De Letras - Ch,8.0,1.0,65.0,2.43091331663572,6.87543386458093,15.1542009878686
Unidade Academica De Ciencias Sociais,7.0,5.0,63.0,5.71515989197819,7.86310509745764,23.306940713896
Unidade Academica De Medicina,11.0,65.0,37.0,6.38639276869051,8.8014612618412,28.1761187960878
